direccion_original,direccion_consulta,direccion_normalizada,latitud,longitud,barrio_usig,comuna_usig,precision,estado,fecha_consulta
"PERON, JUAN DOMINGO, TTE. GENERAL 1701","PERON, JUAN DOMINGO, TTE. GENERAL 1701","PERON, JUAN DOMINGO, TTE. GENERAL 1701, CABA",-34.606669,-58.390849,,,calle_altura,exacta,2026-06-12
LARRAZABAL AV. 705,LARRAZABAL AV. 705,"LARRAZABAL AV. 705, CABA",-34.646191,-58.50874,,,calle_altura,exacta,2026-06-12
"NEWBERY, JORGE AV. 3540","NEWBERY, JORGE AV. 3540","NEWBERY, JORGE AV. 3540, CABA",-34.583275,-58.448958,,,calle_altura,exacta,2026-06-12
TUCUMAN 555,TUCUMAN 555,"TUCUMAN 555, CABA",-34.600979,-58.374724,,,calle_altura,exacta,2026-06-12
NAZCA AV. 1233;NAZCA AV. 1235,NAZCA 1233,"NAZCA AV. 1233, CABA",-34.619072,-58.475199,,,calle_altura,exacta,2026-06-13
GUAMINI 4954,GUAMINI 4954,"GUAMINI 4954, CABA",-34.687836,-58.476586,,,calle_altura,exacta,2026-06-12
"GOYENA, PEDRO AV. 1064","GOYENA, PEDRO AV. 1064","GOYENA, PEDRO AV. 1064, CABA",-34.626766,-58.442564,,,calle_altura,exacta,2026-06-12
SAN JOSE DE CALASANZ 710,SAN JOSE DE CALASANZ 710,"SAN JOSE DE CALASANZ 710, CABA",-34.627413,-58.437353,,,calle_altura,exacta,2026-06-12
CESPEDES 3981;GUEVARA 1027,CESPEDES 3981,"CESPEDES 3981, CABA",-34.584265,-58.458069,,,calle_altura,exacta,2026-06-13
CORRIENTES AV. 1522,CORRIENTES AV. 1522,"CORRIENTES AV. 1522, CABA",-34.604203,-58.388157,,,calle_altura,exacta,2026-06-12
AZCUENAGA 1064,AZCUENAGA 1064,"AZCUENAGA 1064, CABA",-34.59584,-58.399986,,,calle_altura,exacta,2026-06-12
"GARCIA, TEODORO 1844","GARCIA, TEODORO 1844","GARCIA, TEODORO 1844, CABA",-34.564201,-58.440813,,,calle_altura,exacta,2026-06-12
"LACROZE, FEDERICO AV. 3580;LACROZE, FEDERICO AV. 3584",LACROZE 3580,"LACROZE, FEDERICO AV. 3580, CABA",-34.581345,-58.451365,,,calle_altura,exacta,2026-06-13
"BELAUSTEGUI, LUIS, Dr. 1510","BELAUSTEGUI, LUIS, Dr. 1510","BELAUSTEGUI, LUIS, DR. 1510, CABA",-34.607744,-58.460971,,,calle_altura,exacta,2026-06-12
MORENO 1465,MORENO 1465,"MORENO 1465, CABA",-34.612308,-58.386912,,,calle_altura,exacta,2026-06-12
ASUNCION 4836,ASUNCION 4836,"ASUNCION 4836, CABA",-34.607019,-58.521021,,,calle_altura,exacta,2026-06-12
RAMALLO 2795;CRAMER 4401,RAMALLO 2795,"RAMALLO 2795, CABA",-34.544285,-58.476616,,,calle_altura,exacta,2026-06-13
SAN MARTIN 702;SAN MARTIN 712;SAN MARTIN 714;SAN MARTIN 718;SAN MARTIN 728;SAN MARTIN 732;SAN MARTIN 736;SAN MARTIN 746;SAN MARTIN 748;SAN MARTIN 752;SAN MARTIN 760;VIAMONTE 501;VIAMONTE 509;VIAMONTE 515;VIAMONTE 521;VIAMONTE 525;VIAMONTE 529;VIAMONTE 541;VIAMONTE 545;VIAMONTE 547;VIAMONTE 549;FLORIDA 725;FLORIDA 727;FLORIDA 729;FLORIDA 735;FLORIDA 753;FLORIDA 755;FLORIDA 765;FLORIDA 771;FLORIDA 777;FLORIDA 783;FLORIDA 785;CORDOBA AV. 532;CORDOBA AV. 550;CORDOBA AV. 552;CORDOBA AV. 570,SAN MARTIN 702,"SAN MARTIN 702, CABA",-34.599678,-58.374136,,,calle_altura,exacta,2026-06-13
"SUAREZ, JOSE LEON 149","SUAREZ, JOSE LEON 149","SUAREZ, JOSE LEON 149, CABA",-34.640952,-58.527604,,,calle_altura,exacta,2026-06-12
CORRIENTES AV. 1555,CORRIENTES AV. 1555,"CORRIENTES AV. 1555, CABA",-34.604164,-58.388721,,,calle_altura,exacta,2026-06-12
SANTA FE AV. 5042,SANTA FE AV. 5042,"SANTA FE AV. 5042, CABA",-34.5769,-58.43099,,,calle_altura,exacta,2026-06-12
NAZCA 4708;MOSCONI GENERAL AV. 2901,NAZCA 4708,"NAZCA 4708, CABA",-34.586144,-58.502388,,,calle_altura,exacta,2026-06-13
MONROE 5375,MONROE 5375,"MONROE 5375, CABA",-34.576013,-58.489433,,,calle_altura,exacta,2026-06-12
GODOY CRUZ 2744,GODOY CRUZ 2744,"GODOY CRUZ 2744, CABA",-34.578188,-58.424899,,,calle_altura,exacta,2026-06-12
"RIVADAVIA AV. 11526;FALCON, RAMON L.,CNEL. 7115;FALCON, RAMON L.,CNEL. 7119;FALCON, RAMON L.,CNEL. 7121;FALCON, RAMON L.,CNEL. 7123;FALCON, RAMON L.,CNEL. 7129;FALCON, RAMON L.,CNEL. 7131;FALCON, RAMON L.,CNEL. 7135;FALCON, RAMON L.,CNEL. 7137;FALCON, RAMON L.,CNEL. 7139;FALCON, RAMON L.,CNEL. 7145;FALCON, RAMON L.,CNEL. 7147;FALCON, RAMON L.,CNEL. 7151;FALCON, RAMON L.,CNEL. 7155;FALCON, RAMON L.,CNEL. 7159;FALCON, RAMON L.,CNEL. 7165;SUAREZ, JOSE LEON 52;SUAREZ, JOSE LEON 54;SUAREZ, JOSE LEON 56;SUAREZ, JOSE LEON 58;SUAREZ, JOSE LEON 60;SUAREZ, JOSE LEON 62;SUAREZ, JOSE LEON 64;MONTIEL 23;MONTIEL 25;MONTIEL 27;MONTIEL 29",RIVADAVIA 11526,"RIVADAVIA AV. 11526, CABA",-34.639297,-58.526972,,,calle_altura,exacta,2026-06-13
"ALVEAR, MARCELO T. De 930","ALVEAR, MARCELO T. De 930","ALVEAR, MARCELO T. DE 930, CABA",-34.596603,-58.380387,,,calle_altura,exacta,2026-06-12
HUMBOLDT 537;HUMBOLDT 535,HUMBOLDT 537,"HUMBOLDT 537, CABA",-34.594016,-58.446628,,,calle_altura,exacta,2026-06-13
COSTA RICA 5468,COSTA RICA 5468,"COSTA RICA 5468, CABA",-34.58364,-58.433518,,,calle_altura,exacta,2026-06-12
COSTA RICA 3924,COSTA RICA 3924,"COSTA RICA 3924, CABA",-34.591589,-58.418194,,,calle_altura,exacta,2026-06-12
NOGOYA 3206;NOGOYA 3202;CUENCA 2796,NOGOYA 3206,"NOGOYA 3206, CABA",-34.60397,-58.493567,,,calle_altura,exacta,2026-06-13
BLANCO ENCALADA 1699,BLANCO ENCALADA 1699,"BLANCO ENCALADA 1699, CABA",-34.555172,-58.452369,,,calle_altura,exacta,2026-06-12
CUENCA 3422,CUENCA 3422,"CUENCA 3422, CABA",-34.598311,-58.497649,,,calle_altura,exacta,2026-06-12
AVELLANEDA 399,AVELLANEDA 399,"AVELLANEDA 399, CABA",-34.613242,-58.435955,,,calle_altura,exacta,2026-06-12
EL SALVADOR 5090,EL SALVADOR 5090,"EL SALVADOR 5090, CABA",-34.586914,-58.430924,,,calle_altura,exacta,2026-06-12
"ARTIGAS, JOSE GERVASIO, GRAL. 5224","ARTIGAS, JOSE GERVASIO, GRAL. 5224","ARTIGAS, JOSE GERVASIO, GRAL. 5224, CABA",-34.579191,-58.501617,,,calle_altura,exacta,2026-06-12
VARELA AV. 1019;VARELA AV. 1023,VARELA 1019,"VARELA AV. 1019, CABA",-34.640737,-58.457348,,,calle_altura,exacta,2026-06-13
ESTADO DE PALESTINA 642,ESTADO DE PALESTINA 642,"ESTADO DE PALESTINA 642, CABA",-34.603689,-58.425835,,,calle_altura,exacta,2026-06-12
AGUERO 446,AGUERO 446,"AGUERO 446, CABA",-34.604606,-58.411945,,,calle_altura,exacta,2026-06-12
"ARTIGAS, JOSE GERVASIO, GRAL. 5723","ARTIGAS, JOSE GERVASIO, GRAL. 5723","ARTIGAS, JOSE GERVASIO, GRAL. 5723, CABA",-34.575354,-58.504952,,,calle_altura,exacta,2026-06-12
CASTAÑARES AV. 4516,CASTAÑARES AV. 4516,"CASTAÑARES AV. 4516, CABA",-34.664835,-58.470249,,,calle_altura,exacta,2026-06-12
INDEPENDENCIA AV. 354,INDEPENDENCIA AV. 354,"INDEPENDENCIA AV. 354, CABA",-34.617272,-58.370804,,,calle_altura,exacta,2026-06-12
